year,mean_chla,summer_bt,cp_extent,summer_st,mean_AL,NPI,wind_along_shelf,wind_cross_shelf,ice_avg,temp_occ,total_pred,pcod_consumption,bcd_prevalence,total_invert,female_sam,clutch_fullness,male_sam,matmale_d95,matmale_cod_lat,matmale_cod_lon,fraction_bb
1975,NA,1.678358208955224,30877,5.4574626865671645,-34.603305785123965,1010.026,NA,NA,40.41720627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,1.5474452554744527,30476,4.093421052631579,-14.211065573770492,1010.094,NA,NA,43.96925756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,3.1944444444444446,2406,8.711340206185568,-136.03305785123968,1005.954,NA,NA,30.9001911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,3.2507177033492822,10426,6.432751091703057,-63.70454545454545,1006.492,NA,NA,27.85935405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,5.143581081081082,12030,8.564705882352941,35.59710743801653,1010.552,NA,NA,17.47110823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,2.7239583333333335,44110,4.69258064516129,-19.862704918032787,1007.686,-0.13860499999999998,0.1653,31.50754825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,3.601655629139073,18847,7.301324503311259,-133.400826446281,1004.438,0.70428,-1.00686,25.58168468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,2.2439169139465878,52531,5.583333333333333,48.3801652892562,1010.602,-1.28398,-1.31145,27.97457277,2.81981382438911,7060.52872035465,NA,NA,NA,77.09024496798999,0.03538310809341999,NA,NA,NA,NA,0.33541667991083735
1983,NA,2.98974358974359,37293,8.604285714285714,-212.31198347107437,1003.46,0.3040115,-2.44685,28.32727879,3.72860985292153,8941.30080010345,NA,NA,NA,87.49695046710704,0.03843034659522598,NA,NA,NA,NA,0.4096166200744611
1984,NA,2.2280346820809247,51729,7.20056338028169,-67.59016393442623,1006.28,-0.9477,-1.738,29.00222365,3.40208816569017,9854.04501832759,NA,NA,NA,77.15561545715805,0.05101640410840043,NA,NA,NA,NA,0.5039039182543755
1985,NA,2.319677419354839,42907,6.7472392638036816,19.623966942148762,1010.006,0.224783,-0.09925499999999998,23.62991723,2.46996618484054,8517.87073935057,236.172423,NA,NA,95.28022032069926,0.0873819135916442,NA,NA,NA,NA,0.6276775542075661
1986,NA,1.7909883720930233,62155,5.711461318051576,-135.4318181818182,1004.794,-0.071775,-1.36336,26.31177246,1.7365990765031,9771.75202458382,176.2780668,NA,NA,89.47105217719626,0.185460631127567,NA,NA,NA,NA,0.4976122739201771
1987,NA,3.137784090909091,21253,6.890188679245283,-71.34504132231405,1005.968,1.78455,-0.427225,24.00758039,3.35970798990402,10558.1077718698,500.77101,NA,NA,85.18763478645803,0.060627555050201384,NA,NA,NA,NA,0.5880345906097312
1988,NA,2.136684782608696,56942,6.665934065934066,-60.709016393442624,1008.134,-0.837145,-1.418632,28.96915675,2.64683839992683,11610.1826189422,274.7603161,NA,4170.218727647399,92.16032189639967,0.01758794542947947,NA,30075,57.216482918067904,-164.421076697467,0.5657306809637237
1989,NA,2.884764542936288,29674,6.770833333333334,124.08471074380165,1011.742,0.280529,-0.48651,23.40272148,2.75692793518045,10026.0649751214,470.7054955,0.261584703089858,4206.588870635838,88.47834050797115,0.02331942992047667,NA,32481,57.2396093647181,-164.877074505401,0.6960244630791511
1990,NA,2.097068403908795,45313,7.242191780821918,-15.084710743801653,1010.906,-0.55682,0.13065000000000004,31.7406049,2.85283955321612,9324.44920253448,214.9093871,1.10451941984752,4587.05378008046,81.00605624606891,0.010741491699879499,109.71369,36892,56.9218051393438,-166.272126412806,0.5358400079935569
1991,NA,2.4874626865671643,40501,7.934985422740525,35.02066115702479,1011.244,0.5144650000000001,-1.4804599999999999,33.32862645,3.09097178594404,9007.75123973988,131.3948661,0.481089260964673,4441.265226971098,82.91272678830356,0.018026562505929992,119.29145,36892,56.5701683725757,-165.623574784505,0.6432452179585156
1992,NA,1.6310126582278481,60551,6.961695906432749,-75.68852459016394,1006.456,-1.754485,-1.2322300000000002,34.05197431,2.60488628836997,8866.83326652601,105.737921,2.12327257331318,4322.177443572255,80.3095166000218,0.04859816469991736,106.08426,34887,56.4094535154684,-165.293075886958,0.7662270940960049
