year,mean_chla,mean_AL,summer_st,temp_occ,total_pred,pcod_consumption,bcd_prevalence,total_invert,male_sam,matmale_d95,matmale_cod_lon,female_sam,reprod_potential
1975,NA,-34.60330579,5.457462687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,-14.21106557,4.093421053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,-136.0330579,8.711340206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,-63.70454545,6.432751092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,35.59710744,8.564705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,-19.86270492,4.692580645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,-133.4008264,7.301324503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,48.38016529,5.583333333,3.011085258,7060.52872,NA,NA,2199.480746,NA,38095,-170.3822006,78.63369048,0.967376936
1983,NA,-212.3119835,8.604285714,3.707200223,8941.3008,NA,NA,1661.325283,NA,33283,-168.8284713,88.82806212,0.90856213
1984,NA,-67.59016393,7.20056338,3.341860785,9854.045018,NA,NA,2974.313009,NA,32080,-168.2924395,79.55192631,0.901309399
1985,NA,19.62396694,6.747239264,2.574623013,8517.870739,236.172423,NA,1258.639179,NA,28471,-167.2024312,92.50055371,0.901964388
1986,NA,-135.4318182,5.711461318,1.7570013,9771.752025,176.2780668,NA,1896.192994,NA,26466,-168.1869934,89.58788002,0.8656624
1987,NA,-71.34504132,6.890188679,3.391947648,10558.10777,500.77101,NA,3398.213593,NA,35288,-166.6273769,86.29388553,0.932317828
1988,NA,-60.70901639,6.665934066,2.631814565,11610.18262,274.7603161,NA,4170.218728,NA,33684,-165.2353707,90.22318054,0.958683569
1989,NA,124.0847107,6.770833333,2.719535822,10026.06498,470.7054955,0.261584703,4206.588871,NA,34085,-165.2283017,87.78671209,0.926602823
1990,NA,-15.08471074,7.242191781,2.832737215,9324.449203,214.9093871,1.10451942,4587.05378,110.7292817,42506,-167.1210471,82.44700708,0.944299072
1991,NA,35.02066116,7.934985423,3.097605427,9007.75124,131.3948661,0.481089261,4441.265227,118.4991066,44912,-167.0906021,82.65401485,0.925525841
1992,NA,-75.68852459,6.961695906,2.478336845,8866.833267,105.737921,2.123272573,4322.177444,105.5687451,36892,-165.7879117,82.18432306,0.655380732
1993,NA,69.01033058,7.079945799,3.398938745,10562.10014,582.7158822,1.9406468,3637.282789,102.5603776,51328,-166.2483729,82.26963168,0.716891104
1994,NA,-73.93181818,5.605093834,2.846378273,12126.53389,309.2783342,0.079122604,3699.689007,97.2130467,44110,-166.0730756,81.38988785,0.689749519
1995,NA,-48.02892562,6.0896,2.370184051,10876.58625,228.009349,2.07791896,3681.111459,96.50635064,34887,-166.5850154,79.18437559,0.783969711
1996,NA,52.0942623,6.682620321,3.199191623,11610.92807,260.5188576,0.862980136,3320.41083,102.161366,32080,-166.0864648,86.10614695,0.655028848
1997,NA,-60.56198347,7.860160428,2.857717273,11136.98357,135.7491007,1.46892609,4624.053425,111.4776099,34486,-166.3838956,82.50536149,0.69800975
1998,1.363093311,-150.7458678,7.550943396,3.56247839,9902.003718,284.5039899,0.467139345,3476.969901,99.94507567,40501,-166.8496426,83.43258296,0.631411718
1999,1.315120336,1.82231405,3.900271003,2.35475595,8254.429882,245.0248998,0.043882077,3099.360769,109.2118088,30877,-166.4981065,86.13401134,0.743977613
2000,1.358682628,-80.03688525,6.312912088,2.839327066,6607.681387,132.1406006,0.110914293,3357.213621,107.5251126,33283,-165.5566818,84.74187,0.614886469
