"year","imm_survey_abund"
1982,21.0649755556219
1983,6.68615822527446
1984,5.88776044192068
1985,5.85262597378398
1986,14.7886543253941
1987,64.4126161974671
1988,70.522007978957
1989,66.4866302257227
1990,71.9250767201294
1991,64.257401314612
1992,28.5403177836015
1993,15.4145105266129
1994,8.19999177313291
1995,6.55805795366925
1996,9.12509308569745
1997,5.9319556795634
1998,7.87719630127048
1999,21.5898398066055
2000,9.40247493497224
2001,21.8240111222808
2002,16.4745138438935
2003,39.8827537487232
2004,22.9563124024551
2005,34.7316567015656
2006,116.76009826053
2007,68.7012502707195
2008,28.7860316193111
2009,15.5391563295982
2010,12.0314350715805
2011,49.4635050536049
2012,88.3907354502693
2013,71.3094849385452
2014,34.6433558877344
2015,15.430201736644
2016,12.9946126908982
2017,8.61489325322325
2018,10.4217671154305
2019,20.0376268032595
2020,NA
2021,30.0432028778196
2022,13.8613440907411
2023,21.5985063661709
2024,142.624371144726
2025,81.7329015395827
