year,mean_chla
1998,1.3630933114602093
1999,1.3151203358977623
2000,1.3586826276844939
2001,1.8672820385137485
2002,1.7058411285719937
2003,1.9252006461543667
2004,1.8367724954214533
2005,1.8040380433694412
2006,1.428637231451801
2007,1.3142792556897778
2008,1.3115214427760324
2009,1.6958308869091758
2010,1.7984037889600795
2011,1.4999982899970894
2012,1.189028362693236
2013,1.5857045689210119
2014,1.4535320770640046
2015,1.6142592492127703
2016,1.4735851459230254
2017,1.63191572782004
2018,1.5836047190841926
2019,1.6428318010033378
2020,1.722551865807259
2021,1.8026565558165188
2022,1.9947505230102291
2023,2.1736928433912484
2024,1.9080177701128616
