year,clutch_fullness
1988,0.958683569
1989,0.926602823
1990,0.944299072
1991,0.925525841
1992,0.655380732
1993,0.716891104
1994,0.689749519
1995,0.783969711
1996,0.655028848
1997,0.69800975
1998,0.631411718
1999,0.743977613
2000,0.614886469
2001,0.793053705
2002,0.705868646
2003,0.561867202
2004,0.693624681
2005,0.839630006
2006,0.624200171
2007,0.711125736
2008,0.749604833
2009,0.769391099
2010,0.737630482
2011,0.548114396
2012,0.780398035
2013,0.572555017
2014,0.801111316
2015,0.819548707
2016,0.732812404
2017,0.740451186
2018,0.541668135
2019,0.787462632
2020,NA
2021,0.829503989
2022,0.687799129
2023,0.40024645
2024,0.801788378
