year,female_sam
1988,90.22318054
1989,87.78671209
1990,82.44700708
1991,82.65401485
1992,82.18432306
1993,82.26963168
1994,81.38988785
1995,79.18437559
1996,86.10614695
1997,82.50536149
1998,83.43258296
1999,86.13401134
2000,84.74187
2001,78.32552643
2002,78.55177481
2003,78.73942049
2004,81.92438919
2005,80.46335125
2006,82.06127064
2007,83.06003157
2008,82.6515733
2009,83.19503813
2010,83.58500065
2011,81.43771594
2012,81.19944425
2013,82.40320732
2014,82.67699412
2015,81.43080225
2016,79.96436796
2017,76.49170953
2018,78.57940633
2019,74.2128544
2020,NA
2021,80.52829495
2022,81.80243021
2023,80.77748088
2024,77.92106085
