year,fraction_bb
1982,0.33541667991083735
1983,0.4096166200744611
1984,0.5039039182543755
1985,0.6276775542075661
1986,0.4976122739201771
1987,0.5880345906097312
1988,0.5657306809637237
1989,0.6960244630791511
1990,0.5358400079935569
1991,0.6432452179585156
1992,0.7662270940960049
1993,0.863875799303441
1994,0.8005914508497035
1995,0.7997324406030284
1996,0.8944113367035065
1997,0.7161462936179707
1998,0.6570139543686584
1999,0.8213204765837434
2000,0.8648493315508241
2001,0.8553219628783532
2002,0.778127128067217
2003,0.7166809452037792
2004,0.46217021313145135
2005,0.44352495471148706
2006,0.4889428746922553
2007,0.3615511060527117
2008,0.5193329698937829
2009,0.5058554089660079
2010,0.4168720574240199
2011,0.4175462918470269
2012,0.646125249756394
2013,0.6687310609439753
2014,0.6357509500573376
2015,0.6529460643564138
2016,0.444782125619545
2017,0.532177016570509
2018,0.41828571929319525
2019,0.48319116703937337
2020,NA
2021,0.5470694377514692
2022,0.7181630006647882
2023,0.6425302367778856
2024,0.5581929214927219
2025,0.3623153720383407
