"year","male_sam"
1988,NA
1989,NA
1990,109.71369
1991,119.29145
1992,106.08426
1993,101.90779
1994,96.99281
1995,95.87236
1996,102.83811
1997,111.98025
1998,99.81227
1999,108.89602
2000,106.88542
2001,109.11894
2002,100.27246
2003,102.75684
2004,106.80999
2005,96.56501
2006,102.93158
2007,105.94926
2008,97.72394
2009,109.22561
2010,97.2383
2011,106.83697
2012,108.73491
2013,NA
2014,104.39472
2015,NA
2016,98.46167
2017,103.7751
2018,92.96685
2019,95.73022
2020,NA
2021,104.53459
2022,102.99234
2023,93.78756
2024,101.4196
2025,109.3696
