"STATION_ID","MEAN_CPUE","LATITUDE","LONGITUDE"
"A-02",26590.3192048608,55,-166.93
"A-03",17463.4623242375,55,-166.33
"A-04",13502.9963672773,55,-165.75
"A-05",7167.2728929675,55,-165.15
"B-01",12382.0971664728,55.33,-167.55
"B-02",8911.95382788111,55.33,-166.97
"B-03",11370.6182886977,55.33,-166.35
"B-04",13787.469406825,55.33,-165.78
"B-05",5409.22619434784,55.33,-165.17
"B-06",12131.706226727,55.33,-164.58
"B-07",2052.94596566425,55.33,-164
"B-08",26803.3325989182,55.33,-163.42
"C-01",4370.09585166351,55.67,-167.58
"C-02",3388.97976562296,55.67,-166.98
"C-03",8247.5081056038,55.67,-166.38
"C-04",15761.7723320333,55.67,-165.8
"C-05",7902.34881817822,55.67,-165.17
"C-06",8672.86594591995,55.67,-164.58
"C-07",11291.0237526698,55.67,-164
"C-08",10764.0051762742,55.67,-163.4
"C-09",7470.45365815812,55.67,-162.83
"C-18",7213.74680725963,55.67,-168.18
"D-01",4467.08714561931,56,-167.62
"D-02",5259.08305807936,56,-167
"D-03",6447.23589980057,56,-166.4
"D-04",7454.27820513825,56,-165.78
"D-05",5962.64644273699,56,-165.18
"D-06",12169.2992951616,56,-164.58
"D-07",7594.7239195823,56,-164
"D-08",8393.73517849781,56,-163.4
"D-09",2457.91189108379,56,-162.82
"D-18",14703.1497321532,56,-168.22
"E-01",3947.05295581204,56.33,-167.65
"E-02",5526.42940320844,56.33,-167.03
"E-03",4688.82003091169,56.33,-166.42
"E-04",4998.48199248504,56.33,-165.8
"E-05",9274.31244712967,56.33,-165.2
"E-06",15660.2016153489,56.33,-164.58
"E-07",7694.08215089966,56.33,-164
"E-08",4929.08091028364,56.33,-163.4
"E-09",1940.99214465225,56.33,-162.8
"E-10",2078.68042410919,56.33,-162.2
"E-18",28533.0969580853,56.33,-168.25
"E-19",15049.754334728,56.33,-168.87
"E-20",8057.32113905607,56.33,-169.47
"E-21",12156.6079370471,56.33,-170.07
"E-22",7684.97349707713,56.33,-170.68
"F-01",3148.11151220462,56.67,-167.67
"F-02",7105.09767827401,56.67,-167.07
"F-03",8447.01188126872,56.67,-166.43
"F-04",9278.08309221561,56.67,-165.83
"F-05",9799.78899696018,56.67,-165.22
"F-06",8150.75755656158,56.67,-164.6
"F-07",17835.6297406583,56.67,-164
"F-08",4982.29134894169,56.67,-163.38
"F-09",7753.51701023864,56.67,-162.78
"F-10",2603.9196681749,56.67,-162.18
"F-11",3686.22406517107,56.67,-161.58
"F-12",2260.55267909541,56.67,-160.98
"F-18",9073.52344006373,56.67,-168.28
"F-19",8288.81958268979,56.67,-168.9
"F-20",2833.06428198826,56.67,-169.5
"F-21",20419.8968588064,56.67,-170.12
"F-22",11263.5075358397,56.67,-170.73
"F-23",4560.85364077373,56.67,-171.35
"F-24",6041.1690920631,56.67,-171.97
"F-25",6765.69084797792,56.67,-172.57
"G-01",8286.72569449011,57,-167.7
"G-02",7599.13430880832,57,-167.08
"G-03",2575.35543011652,57,-166.47
"G-04",6650.63144897681,57,-165.85
"G-05",7035.28145348909,57,-165.22
"G-06",5432.53236642658,57,-164.6
"G-07",6448.79706079299,57,-164
"G-08",3435.16498214448,57,-163.38
"G-09",3054.25306013274,57,-162.78
"G-10",3935.1310253359,57,-162.17
"G-18",7440.57694249016,57,-168.33
"G-19",3154.5175754475,57,-168.95
"G-20",15300.2799490003,57,-169.55
"G-21",32819.1126507476,57,-170.17
"G-22",11947.8184802881,57,-170.78
"G-23",5312.02933228007,57,-171.4
"G-24",2029.82150340877,57,-172.03
"G-25",4725.53633611495,57,-172.65
"G-26",5129.37055562351,57,-173.25
"H-01",5602.72779428563,57.33,-167.73
"H-02",5022.9563260678,57.33,-167.12
"H-03",2716.8195502686,57.33,-166.48
"H-04",2031.20709399058,57.33,-165.87
"H-05",3608.44259364415,57.33,-165.23
"H-06",4540.56529587311,57.33,-164.62
"H-07",4347.46649877799,57.33,-164
"H-08",2501.92574416932,57.33,-163.38
"H-09",3304.14832638292,57.33,-162.77
"H-10",2566.01955380333,57.33,-162.15
"H-11",2857.53831291033,57.33,-161.53
"H-13",3043.28560140807,57.33,-160.3
"H-18",4131.36350290493,57.33,-168.37
"H-19",7020.26622496967,57.33,-168.98
"H-20",11043.5821733121,57.33,-169.6
"H-21",2749.40005756018,57.33,-170.22
"H-22",8150.5725308434,57.33,-170.85
"H-23",4742.12449214543,57.33,-171.47
"H-24",4708.59185701288,57.33,-172.1
"H-25",3021.45319767642,57.33,-172.72
"H-26",5297.39593790813,57.33,-173.33
"I-01",7926.07027678358,57.67,-167.77
"I-02",3950.8321904817,57.67,-167.13
"I-04",1839.4469690715,57.67,-165.88
"I-05",2361.89730921345,57.67,-165.25
"I-06",3157.8169675466,57.67,-164.62
"I-07",2069.70243086053,57.67,-164
"I-12",2037.80118134687,57.67,-160.88
"I-18",4038.44502424123,57.67,-168.4
"I-19",6080.02887878858,57.67,-169.03
"I-20",8906.1787153474,57.67,-169.65
"I-21",7945.75045735154,57.67,-170.27
"I-22",4905.32867274938,57.67,-170.9
"I-23",3764.94358748106,57.67,-171.53
"I-24",6829.7298055508,57.67,-172.17
"I-25",5114.68792162119,57.67,-172.8
"I-26",15011.5381919619,57.67,-173.4
"J-01",7382.63924525248,58,-167.8
"J-02",3056.31914380693,58,-167.17
"J-03",2535.94600826525,58,-166.52
"J-18",4051.83550332008,58,-168.43
"J-19",4569.36438430291,58,-169.07
"J-20",12555.9337688807,58,-169.7
"J-21",4793.42272805553,58,-170.33
"J-22",3021.86662363142,58,-170.97
"J-23",2145.09007148033,58,-171.6
"J-24",2945.72405997289,58,-172.23
"J-25",4777.00974997435,58,-172.87
"J-26",3236.54852834951,58,-173.48
"K-01",3607.62953186197,58.33,-167.83
"K-18",3296.47255148201,58.33,-168.47
"K-19",5650.32120413551,58.33,-169.12
"K-20",4411.25893589328,58.33,-169.73
"K-21",6443.05159276895,58.33,-170.38
"K-22",1928.37192782804,58.33,-171.02
"K-23",2937.12817031276,58.33,-171.65
"K-24",2011.07212842198,58.33,-172.3
"K-25",4242.20195596017,58.33,-172.93
"K-26",3766.72939886859,58.33,-173.57
"K-27",6395.32279502159,58.33,-174.32
"L-19",2774.28350176024,58.67,-169.15
"L-20",6725.83582187598,58.67,-169.78
"L-21",2897.68429520281,58.67,-170.43
"L-25",4669.98689737006,58.67,-173
"L-26",4693.99250470131,58.67,-173.63
"L-27",19814.6814465225,58.67,-174.27
"L-28",5262.68347684148,58.67,-174.9
"L-29",9625.1958600991,58.67,-175.55
"L-30",2705.71449144097,58.67,-176.2
"M-19",2973.98378861492,59,-169.18
"M-20",4905.34064200104,59,-169.83
"M-21",2244.54771400904,59,-170.48
"M-24",1965.15956355518,59,-172.43
"M-25",1988.50165927407,59,-173.08
"M-26",8855.97938194821,59,-173.72
"M-27",11089.3978454761,59,-174.37
"M-28",5339.7892909995,59,-175
"M-29",3825.90989519567,59,-175.73
"M-32",2573.19305084906,59,-177.6
"N-20",2546.95201877994,59.33,-169.87
"N-25",2119.68355459188,59.33,-173.15
"N-26",3118.50787596889,59.33,-173.8
"N-27",5802.85980474763,59.33,-174.45
"N-28",2970.9404997739,59.33,-175.1
"N-29",2753.68268946439,59.33,-175.75
"N-30",5287.57696911983,59.33,-176.38
"O-30",2285.00379733147,59.67,-176.53
"O-31",2134.17595134952,59.67,-177.15
