"YEAR","LAT_COD_immature_female","LAT_COD_mature_female","LAT_COD_immature_male","LAT_COD_mature_male","LAT_COD_population","LON_COD_immature_female","LON_COD_mature_female","LON_COD_immature_male","LON_COD_mature_male","LON_COD_population"
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,56.9987738789102,57.0678301415853,57.1142449058869,57.2164829180679,57.0936903048691,-168.433919404283,-164.974421023088,-167.641094296795,-164.421076697467,-166.863764125419
1989,56.3820839106496,56.821963791599,56.5874217185865,57.2396093647181,56.6668278475796,-166.501813871584,-166.441705495816,-166.840960882876,-164.877074505401,-166.343176409465
1990,56.8770563403078,56.5989275727377,56.8269450818267,56.9218051393438,56.7888998352815,-167.319464227369,-167.594362993023,-167.2124785662,-166.272126412806,-167.18627133072
1991,56.5424051268911,56.4707974143865,56.8355097232606,56.5701683725757,56.6434226794025,-167.419331999413,-167.10030369906,-167.492178477627,-165.623574784505,-167.113756037408
1992,57.3192082646805,56.8105645670354,57.241040718971,56.4094535154684,56.861773390088,-171.215561365073,-168.45911285508,-169.369196091544,-165.293075886958,-168.027024661717
1993,56.8367506095997,56.5754169457349,56.9734141722395,56.6134122360534,56.7276596672031,-170.528878443559,-167.758092800332,-169.272134429133,-164.814139089603,-167.397890233622
1994,56.574181042936,56.6400110460707,57.1735630634188,56.8093834227933,56.8009512280716,-169.65909001299,-167.539777717272,-170.338458803553,-166.013841258277,-167.985203819179
1995,57.3816652005034,56.4453484597892,57.4528459215327,56.6406125321372,56.8079701368029,-170.336251302872,-167.404729892022,-170.559495938839,-166.380304095269,-168.087465569657
1996,56.7593955583528,56.5769862645178,56.9333333448682,56.5005005835653,56.697563624658,-167.238202339785,-166.529657722184,-167.418400901693,-165.720816292495,-166.742725524875
1997,56.3234443987025,56.496029520406,56.5907824128902,56.5984904597289,56.4806623831311,-166.910041437833,-166.577036348718,-167.225799926086,-165.916014190864,-166.912894114712
1998,56.8361112609355,56.3415048964304,56.8739871536446,56.8251510419754,56.8095848004972,-169.243703395757,-166.947309897218,-168.757712546825,-166.628939284274,-168.507121750547
1999,56.5346532368399,56.1566146435874,56.5068043000331,56.3264594455333,56.4793557134499,-168.758622565839,-166.622912653932,-167.814736348122,-165.111241448105,-167.922922358521
2000,56.8641211916112,55.998043063303,56.8943656462392,56.2092811911039,56.7182774424306,-169.14090154606,-165.913400036908,-168.691051290234,-164.970399343103,-168.147707810992
2001,56.2028750430069,56.0768050090449,56.3588514785171,56.1617515175326,56.2696882653948,-167.39886827117,-167.272645683571,-167.553542538113,-165.215553401014,-167.377425746438
2002,56.4845952801736,56.217897803415,56.7231321942148,56.2871804104322,56.5593105815181,-168.242638520678,-167.552692746668,-168.343447363606,-166.063406310667,-168.080749102515
2003,57.1497113002644,56.294843605417,56.8957049411997,56.1919525892305,56.8293633480493,-170.350193664292,-167.953236545316,-169.345151486671,-165.993845476317,-169.179029065347
2004,57.6956120537851,56.5586008922601,57.4951893217804,56.5961742728857,57.4253849122233,-171.041207696135,-168.596520470721,-170.45829169861,-167.172099479016,-170.258837563549
2005,57.4826203839667,56.6087204593497,57.5619555755323,56.6971158486296,57.309664715879,-169.627697008119,-169.031355057081,-169.881305581687,-167.53412819981,-169.393256530616
2006,57.4066529386364,56.6012122348442,57.2515564361431,56.4933791706239,57.1242479681361,-169.350377686286,-168.595765258012,-168.769319708682,-167.236450049711,-168.734429641617
2007,57.6730746162978,56.3596550707063,57.7151103827235,56.6855957592189,57.3630570689899,-169.966898542564,-167.766370673051,-169.04689413924,-167.693904157901,-168.83589214914
2008,57.2957382349865,56.2932644210454,57.220968405231,56.5402607601737,56.8241189874124,-169.929653287058,-167.814871484265,-169.071008726062,-167.10681424936,-168.296965285209
2009,56.718494457998,56.2122843739188,56.9270895006095,56.4720673602749,56.6877298535839,-169.01510063628,-167.450376918241,-168.827612217754,-167.420857769314,-168.459880865734
2010,57.0721271561222,56.1956232463989,57.1228487246767,56.5935109813054,56.9139077493071,-168.966116118364,-167.638484679336,-168.720600305476,-167.822748781891,-168.519198595232
2011,57.108687110946,56.6320734487007,57.0470343272075,56.5169390830395,57.0003768258924,-167.8827732362,-167.872227011311,-167.444693408646,-167.781185182785,-167.66155761267
2012,57.1359956133751,56.6540717181848,57.1577035801544,56.4589833676195,57.0408257975564,-167.586064315836,-165.716964195449,-166.950993354008,-165.807793240695,-166.885727670045
2013,56.7190687586259,56.8221368503438,56.9456875728323,56.741673844832,56.8335951402269,-168.110698256144,-166.146029793634,-167.692659388911,-165.221414803575,-166.989165325986
2014,57.4750967161484,56.8091105606999,57.2881698706328,56.8508091338328,57.1276153719805,-169.078826606082,-167.840494375233,-168.089598131858,-165.819108857904,-167.63116330119
2015,56.5302086212422,56.7212483256503,56.8899781854775,57.0327298152287,56.8365715796301,-168.45217936374,-168.451331777907,-168.116569230344,-166.213054881789,-167.67684543087
2016,57.220638581365,56.9873249143067,57.1363376734294,56.9130743634002,57.0357153994188,-171.331536398804,-170.102093516021,-170.03940576901,-167.231896492175,-169.155523182718
2017,57.1900782690931,56.2070491336202,57.2367168100707,56.6722269523081,56.9519208505491,-170.799990009909,-167.770104994704,-170.146211361325,-166.576366030383,-169.205678265794
