"year","temp_occ"
1982,2.81981382438911
1983,3.72860985292153
1984,3.40208816569017
1985,2.46996618484054
1986,1.7365990765031
1987,3.35970798990402
1988,2.64683839992683
1989,2.75692793518045
1990,2.85283955321612
1991,3.09097178594404
1992,2.60488628836997
1993,3.4628388869583
1994,2.8232488384672
1995,2.40486329218571
1996,3.22305256854367
1997,2.867325719824
1998,3.56175704241974
1999,2.36197858791849
2000,2.85523997942064
2001,3.62443701652658
2002,3.45686330938513
2003,4.34691915713299
2004,3.43853426851709
2005,3.46219071478074
2006,1.87659038478953
2007,1.39022657128349
2008,1.83231549145376
2009,2.00600036579571
2010,1.37592191832233
2011,2.32607146629658
2012,0.226726098514328
2013,1.42125116185513
2014,3.00002508128893
2015,4.11089691160778
2016,4.52976348363759
2017,3.56594360015818
2018,4.05970296632589
2019,4.26034927195241
2020,NA
2021,3.83666086391167
2022,2.83366412047313
2023,3.19161259731983
2024,2.86075081293465
2025,3.5173791543239
