year,wind_along_shelf,wind_cross_shelf
1980,-0.13860499999999998,0.1653
1981,0.70428,-1.00686
1982,-1.28398,-1.31145
1983,0.3040115,-2.44685
1984,-0.9477,-1.738
1985,0.224783,-0.09925499999999998
1986,-0.071775,-1.36336
1987,1.78455,-0.427225
1988,-0.837145,-1.418632
1989,0.280529,-0.48651
1990,-0.55682,0.13065000000000004
1991,0.5144650000000001,-1.4804599999999999
1992,-1.754485,-1.2322300000000002
1993,0.434995,-2.19295
1994,1.8237599999999998,-1.30075
1995,0.6516865000000001,-1.8988800000000001
1996,-0.774945,0.49799000000000004
1997,-2.5746149999999997,-0.03447500000000003
1998,-0.17945,-0.070296
1999,0.321552,-0.38583
2000,0.417765,-0.43665499999999996
2001,0.253845,0.28204
2002,-1.3068650000000002,-0.8556655000000001
2003,-0.358245,9.099999999999941e-4
2004,-1.08777,-0.13003499999999996
2005,-0.605625,-2.114345
2006,1.42595,0.5158410000000001
2007,2.0999,-0.09130000000000005
2008,0.69953,-1.4043
2009,-0.629605,-0.6196
2010,0.9535899999999999,-0.50753
2011,-0.29723,-0.6167
2012,0.91411,-0.06840000000000002
2013,-0.39155999999999996,0.051570000000000005
2014,0.44026,1.0805799999999999
2015,-1.236895,0.032214999999999994
2016,-1.3165,-0.009414999999999993
2017,-1.1066449999999999,-1.08246
2018,0.5942015,-1.4523000000000001
2019,0.61671,-1.4549400000000001
2020,-0.8918499999999999,-1.55367
2021,-0.879165,-1.92261
2022,-0.0011999999999999789,-0.53581
2023,1.026105,-0.7950649999999999
2024,0.79692,-1.5874000000000001
2025,NA,NA
